V1,V3,V4,gene1,gene2,hct116.T21.gi.GEMINI,GM.T15.gi.GEMINI,hct116.significant.GEMINI,GM12878.significant.GEMINI
choose,ENSG00000142687,ENSG00000137261,KIAA0319L,KIAA0319,-0.154,-0.052,N,N
choose,ENSG00000118263,ENSG00000067082,KLF7,KLF6,0.132,-0.127,N,N
choose,ENSG00000140983,ENSG00000126858,RHOT2,RHOT1,0.629,0.279,N,N
gi2,ENSG00000105220,ENSG00000183648,GPI,NDUFB1,0.04,0.164,N,N
choose,ENSG00000198018,ENSG00000197217,ENTPD7,ENTPD4,0.332,-0.182,N,N
gi2,ENSG00000167258,ENSG00000141736,CDK12,ERBB2,0.306,-0.512,N,N
choose,ENSG00000145248,ENSG00000125255,SLC10A4,SLC10A2,-0.033,0.126,N,N
choose,ENSG00000170837,ENSG00000164604,GPR27,GPR85,0.27,0.54,N,N
choose,ENSG00000121775,ENSG00000176142,TMEM39B,TMEM39A,-0.032,0.147,N,N
choose,ENSG00000135916,ENSG00000136156,ITM2C,ITM2B,0.188,0.28,N,N
choose,ENSG00000152518,ENSG00000185650,ZFP36L2,ZFP36L1,-0.29,0.137,N,N
choose,ENSG00000096433,ENSG00000123104,ITPR3,ITPR2,0.132,0.009,N,N
gi2,ENSG00000196411,ENSG00000149177,EPHB4,PTPRJ,0.376,0.212,N,N
choose,ENSG00000143753,ENSG00000168350,DEGS1,DEGS2,-0.05,0.276,N,N
gi2,ENSG00000105221,ENSG00000167258,AKT2,CDK12,0.169,-0.299,N,N
choose,ENSG00000153046,ENSG00000166446,CDYL,CDYL2,-0.056,-0.25,N,N
choose,ENSG00000163935,ENSG00000198879,SFMBT1,SFMBT2,-0.01,-0.049,N,N
choose,ENSG00000131023,ENSG00000150457,LATS1,LATS2,0.194,0,N,N
choose,ENSG00000130045,ENSG00000171773,NXNL2,NXNL1,-0.127,0.111,N,N
choose,ENSG00000177106,ENSG00000151491,EPS8L2,EPS8,-0.044,0.067,N,N
choose,ENSG00000091073,ENSG00000135144,DTX2,DTX1,-0.105,0.157,N,N
choose,ENSG00000087510,ENSG00000137203,TFAP2C,TFAP2A,0.287,0.153,N,N
choose,ENSG00000066933,ENSG00000099331,MYO9A,MYO9B,-0.041,0.074,N,N
choose,ENSG00000149557,ENSG00000171055,FEZ1,FEZ2,-0.298,-0.147,N,N
choose,ENSG00000175445,ENSG00000101670,LPL,LIPG,0.127,0.3,N,N
gi2,ENSG00000051382,ENSG00000167900,PIK3CB,TK1,0.011,0.215,N,N
gi2,ENSG00000119535,ENSG00000133056,CSF3R,PIK3C2B,0.093,0.281,N,N
choose,ENSG00000138378,ENSG00000168610,STAT4,STAT3,0.047,0.195,N,N
choose,ENSG00000144283,ENSG00000169862,PKP4,CTNND2,-0.038,-0.136,N,N
choose,ENSG00000152601,ENSG00000139793,MBNL1,MBNL2,-0.614,0.55,N,N
choose,ENSG00000124232,ENSG00000168214,RBPJL,RBPJ,-0.018,0.664,N,N
gi2,ENSG00000130758,ENSG00000105641,MAP3K10,SLC5A5,0.179,0.327,N,N
choose,ENSG00000170689,ENSG00000180806,HOXB9,HOXC9,-0.573,0.118,N,N
gi2,ENSG00000130758,ENSG00000115138,MAP3K10,POMC,0.128,0.381,N,N
choose,ENSG00000144290,ENSG00000033867,SLC4A10,SLC4A7,-0.463,0.155,N,N
choose,ENSG00000172803,ENSG00000129515,SNX32,SNX6,0.043,0.166,N,N
choose,ENSG00000137075,ENSG00000146083,RNF38,RNF44,0.074,0.437,N,N
choose,ENSG00000196911,ENSG00000025800,KPNA5,KPNA6,0.171,-0.022,N,N
choose,ENSG00000080298,ENSG00000087903,RFX3,RFX2,-0.002,-0.069,N,N
gi2,ENSG00000205309,ENSG00000167900,NT5M,TK1,-0.025,0.052,N,N
choose,ENSG00000114416,ENSG00000102081,FXR1,FMR1,0.029,0.003,N,N
choose,ENSG00000116044,ENSG00000082641,NFE2L2,NFE2L1,0.091,-0.041,N,N
choose,ENSG00000158161,ENSG00000112319,EYA3,EYA4,0.288,-0.036,N,N
choose,ENSG00000169604,ENSG00000163297,ANTXR1,ANTXR2,0.056,0.294,N,N
choose,ENSG00000116977,ENSG00000133317,LGALS8,LGALS12,-0.024,0.012,N,N
choose,ENSG00000105866,ENSG00000167182,SP4,SP2,0.071,0.016,N,N
choose,ENSG00000116117,ENSG00000148498,PARD3B,PARD3,0.655,0.305,N,N
gi2,ENSG00000139567,ENSG00000135409,ACVRL1,AMHR2,-0.082,0.166,N,N
choose,ENSG00000154227,ENSG00000143418,CERS3,CERS2,-0.094,0.867,N,N
choose,ENSG00000162599,ENSG00000147862,NFIA,NFIB,-0.063,0.109,N,N
choose,ENSG00000198742,ENSG00000108854,SMURF1,SMURF2,-0.011,0.498,N,N
choose,ENSG00000160145,ENSG00000038382,KALRN,TRIO,0.136,0.318,N,N
choose,ENSG00000147535,ENSG00000203805,PPAPDC1B,PPAPDC1A,0.193,-0.273,N,N
