"","V1","V2","V3","V4","hct116.T21.gi","hct116.T21.gi.sd","qvalue.x","significant.x","GM.T15.gi","GM.T15.gi.sd","qvalue.y","significant.y","genename.x","genename.y","gi"
"611","choose","pair","ENSG00000163349","ENSG00000110422",0.168747693642399,0.220651328824689,0.999999999999713,"N",0.193385989596214,0.266787308430857,0.999999997646874,"N","HIPK1","HIPK3","others"
"612","choose","pair","ENSG00000153395","ENSG00000087253",0.169041345617338,0.19086672609907,0.999999999999713,"N",0.621691341803696,0.24627017458932,0.999999997646874,"N","LPCAT1","LPCAT2","others"
"613","choose","pair","ENSG00000003989","ENSG00000139514",0.170911588700078,0.304040146703502,0.999999999999713,"N",0.255703031253086,0.360231311588576,0.999999997646874,"N","SLC7A2","SLC7A1","others"
"614","choose","pair","ENSG00000150995","ENSG00000123104",0.17146914990259,0.316769255137136,0.999999999999713,"N",0.114051957367642,0.428371993532761,0.999999997646874,"N","ITPR1","ITPR2","others"
"615","choose","pair","ENSG00000122642","ENSG00000141756",0.174055515440972,0.303336639175349,0.999999999999713,"N",0.764080859108358,0.369871911040883,0.999999997646874,"N","FKBP9","FKBP10","others"
"616","choose","pair","ENSG00000084234","ENSG00000142192",0.181769131960897,0.20006295549095,0.999999999999713,"N",0.601023209213785,0.267305692721429,0.999999997646874,"N","APLP2","APP","others"
"617","choose","pair","ENSG00000111859","ENSG00000087589",0.184026126276126,0.21351429883588,0.999999999999713,"N",-0.0144009345427951,0.37325679213284,0.999999997646874,"N","NEDD9","CASS4","others"
"618","gi2","pair","ENSG00000123374","ENSG00000137764",0.186014112044544,0.420635348428311,0.999999999999713,"N",0.571075252444326,0.43275198446843,0.999999997646874,"N","CDK2","MAP2K5","others"
"619","choose","pair","ENSG00000116005","ENSG00000145882",0.186103495877201,0.26384096790109,0.999999999999713,"N",0.0256847029594496,0.316217319803042,0.999999997646874,"N","PCYOX1","PCYOX1L","others"
"620","gi2","pair","ENSG00000105220","ENSG00000105851",0.193432211044413,0.342915088104035,0.999999999999713,"N",0.14806481118074,0.349266992371588,0.999999997646874,"N","GPI","PIK3CG","others"
"621","choose","pair","ENSG00000083444","ENSG00000106397",0.198897688435953,0.149917798498466,0.999999999999713,"N",0.262457519190315,0.194265280633545,0.999999997646874,"N","PLOD1","PLOD3","others"
"622","gi1","pair","ENSG00000253729","ENSG00000149311",0.199020318818032,0.213947613882649,0.999999999999713,"N",0.179794783822609,0.232396628267757,0.999999997646874,"N","PRKDC","ATM","others"
"623","choose","pair","ENSG00000179387","ENSG00000110675",0.20204919605734,0.207567062833024,0.999999999999713,"N",0.139554752356297,0.265002106255468,0.999999997646874,"N","ELMOD2","ELMOD1","others"
"624","choose","pair","ENSG00000148377","ENSG00000067064",0.202096955698429,0.322152398479946,0.999999999999713,"N",0.258415843646027,0.383170377630115,0.999999997646874,"N","IDI2","IDI1","others"
"625","choose","pair","ENSG00000137976","ENSG00000105612",0.206745514531325,0.256766743919952,0.999999999999713,"N",0.286850585868736,0.278328438294848,0.999999997646874,"N","DNASE2B","DNASE2","others"
